"","",""
"1","Patch Set 2: Code-Review-2 review master 1st","A"
"2","Patch Set 4: I don't really like this (opinion; let's get others). iotivity has just one license. for the external projects, it should be enough just to list them (maybe with a http link), and it should not be a variable list. so I'm thinking just make the LEGAL.md and commit it.","A"
"3","Patch Set 4: This change is not critical, but since it was accepted in tizen spec file, I thought it could be done at scons level, to make it usable for all. Note iotivity binaries are shiping builds extlibs, so I wanted to make sure everything was compatible and not omited. I am also considering to commit LEGAL.md and keep this scanner to track changes if any.","A"
"4","Patch Set 5: (1 comment) plugins/samples/linux/IotivityandZigbeeClient.c Line 39: at the current state I would say that all example are experimental unless specified. This change is making this example buildable using installed (experimentals) headers. So either logger and client of logger are experimental and this change should goes in :) either logger (plus payload logger) is not experimental and belongs to API, then it should be installed along other headers.","A"
"5","Patch Set 5: Code-Review-1 (1 comment) -1 pending answer to my question plugins/samples/linux/IotivityandZigbeeClient.c Line 37: samples should only include experimental headers if the sample itself is declared as experimental. (see https://wiki.iotivity.org/api_guidelines) Is this sample documented as experimental somewhere or somehow? Where? Remember ""All public APIs must be used in some sample code or snippet"" and ""Experimental APIs should ideally be used in some sample code (separate from samples that use only public APIs) or snippet. Ideally, the sample should be one that is compiled as part of the build. For rarely used APIs, the sample might simply be a snippet in the doxygen comments.""","A"
"6","Patch Set 3: Since 1.3.1 is all-but-final (I think a few WES issues remain only) can we cherry pick to master and abandon the 1.3-rel version? This looks like a very large change to push into 1.3-rel at this point.","A"
"7","Patch Set 3: Code-Review-1 (8 comments) In general experimental APIs should not be used in the same samples meant to be the samples for public APIs. As such, either the logging APIs need to be public, or we need new samples that do not use experimental APIs. resource/csdk/security/provisioning/sample/cloud/cloudAuth.c Line 22: Since this sample uses experimental APIs, please include a notice in README-cloud.txt that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases. resource/csdk/resource-directory/samples/rd_queryClient.cpp Line 24: Since this sample uses experimental APIs, please include a notice somewhere that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases. resource/csdk/security/provisioning/sample/autoprovisioningclient.c Line 38: Since this sample uses experimental APIs, please include a notice in README-Provisioning-Tool.txt that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases. resource/csdk/security/tool/svrdbeditor_src/svrdbeditorcred.c Line 38: Since this tool uses experimental APIs, please include a notice somewhere that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases. resource/csdk/stack/samples/linux/OCSample/ocserver.c Line 36: Since this sample code uses experimental APIs, please include a notice somewhere that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases. resource/csdk/resource-directory/samples/rd_publishingClient.cpp Line 29: Since this sample uses experimental APIs, please include a notice somewhere that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases. resource/csdk/stack/samples/linux/OCSample/occlient.c Line 34: Since this sample code uses experimental APIs, please include a notice somewhere that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases. resource/csdk/stack/samples/arduino/SimpleClientServer/ocserver/ocserver.cpp Line 24: Since this sample code uses experimental APIs, please include a notice somewhere that there is no guarantee of support for this sample code in future releases, nor is there any guarantee that breaking changes will not occur across releases.","A"
"8","Patch Set 1: Code-Review-1 (9 comments) resource/csdk/connectivity/src/cainterfacecontroller.c Line 26: why did platform_features.h need to be added?","A"
"9","Patch Set 5: Verified+1 @Dave, I prefer to not change this patch but I prepared this one for you: https://gerrit.iotivity.org/gerrit/#/c/23483/","A"
"10","Patch Set 3: Change makes since to me. I will give this a +1 this seems like an issue caused by not having clear list of public header files. I am not completely convinced the logging should be made public. Since we already have samples and code that assume it is public this change makes since.","A"
"11","Patch Set 5: Note this was merged in master branch","A"
"12","Patch Set 2: (1 comment) Dockerfile Line 70: I would suggest to provide a ARG to allow customization of the scons build, e.g. ARG buildargs and then call scons with scons VERBOSE=1 ${buildargs}","A"
"13","Patch Set 6: Like I did for tizen: https://gerrit.iotivity.org/gerrit/#/c/23451/ or fedora OK to relocate, I still think it could be good to have a default docker file, maybe I will propose one that clone from sources. Anyway there is no emergency to merge this.","A"
"14","Patch Set 2: Partly answering myself, it seems the prep.sh call is relative to the top of the iotivity tree.","A"
"15","Patch Set 6: As Martin says, we should wrap this in a script which allows for some customization. That would also allow more easily running from a non-top-level directory, there's enough stuff in the top already. There is already a tools/docker directory so as mentioned I'd prefer it there.","A"
